frameIndex;frameTime;F0final_sma;voicingFinalUnclipped_sma;pcm_loudness_sma
0;0.010000;0.000000e+00;0.000000e+00;7.168740e-01
1;0.020000;0.000000e+00;2.066805e-01;5.391036e-01
2;0.030000;0.000000e+00;4.017808e-01;2.694064e-01
3;0.040000;0.000000e+00;5.942112e-01;2.787275e-01
4;0.050000;0.000000e+00;5.432408e-01;2.108871e-01
5;0.060000;0.000000e+00;3.481406e-01;2.223331e-01
6;0.070000;0.000000e+00;3.153156e-01;2.907392e-01
7;0.080000;0.000000e+00;1.596054e-01;3.406669e-01
8;0.090000;0.000000e+00;1.596054e-01;6.136621e-01
9;0.100000;0.000000e+00;0.000000e+00;6.555682e-01
10;0.110000;0.000000e+00;0.000000e+00;7.070243e-01
11;0.120000;0.000000e+00;1.198699e-01;8.859078e-01
12;0.130000;0.000000e+00;1.198699e-01;1.253388e+00
13;0.140000;0.000000e+00;1.198699e-01;1.290433e+00
14;0.150000;0.000000e+00;0.000000e+00;1.197693e+00
15;0.160000;0.000000e+00;2.267408e-01;8.290632e-01
16;0.170000;8.443981e+01;4.718249e-01;6.572787e-01
17;0.180000;1.648689e+02;7.274467e-01;3.293248e-01
18;0.190000;2.436959e+02;7.669876e-01;2.494760e-01
19;0.200000;2.374089e+02;7.912971e-01;6.357373e-01
20;0.210000;2.341585e+02;8.046051e-01;8.404807e-01
21;0.220000;2.312924e+02;8.110751e-01;8.947442e-01
22;0.230000;2.283129e+02;8.132610e-01;6.975217e-01
23;0.240000;2.256991e+02;8.162165e-01;7.220964e-01
24;0.250000;2.240820e+02;8.181509e-01;6.106908e-01
25;0.260000;2.231844e+02;8.254043e-01;5.727047e-01
26;0.270000;2.230522e+02;8.361263e-01;9.157662e-01
27;0.280000;2.235078e+02;8.452587e-01;1.908531e+00
28;0.290000;2.243635e+02;8.519945e-01;2.038364e+00
29;0.300000;2.252999e+02;8.557501e-01;1.843436e+00
30;0.310000;2.260311e+02;8.579697e-01;1.398941e+00
31;0.320000;2.267554e+02;8.568669e-01;1.204805e+00
32;0.330000;2.277396e+02;8.514990e-01;1.475147e+00
33;0.340000;2.289067e+02;8.409613e-01;1.193404e+00
34;0.350000;2.300203e+02;8.246855e-01;1.363648e+00
35;0.360000;2.312840e+02;7.996433e-01;1.365581e+00
36;0.370000;2.311302e+02;7.578112e-01;1.398763e+00
37;0.380000;1.541609e+02;6.990948e-01;1.384632e+00
38;0.390000;7.654389e+01;6.441749e-01;8.261942e-01
39;0.400000;0.000000e+00;5.984960e-01;5.927650e-01
40;0.410000;0.000000e+00;5.711238e-01;4.472907e-01
41;0.420000;0.000000e+00;5.804645e-01;4.087686e-01
42;0.430000;0.000000e+00;3.924752e-01;4.468120e-01
43;0.440000;0.000000e+00;2.103735e-01;2.979400e-01
44;0.450000;0.000000e+00;0.000000e+00;1.417897e-01
45;0.460000;0.000000e+00;0.000000e+00;0.000000e+00
46;0.470000;0.000000e+00;0.000000e+00;0.000000e+00
47;0.480000;0.000000e+00;0.000000e+00;0.000000e+00
48;0.490000;0.000000e+00;0.000000e+00;0.000000e+00
49;0.500000;0.000000e+00;0.000000e+00;0.000000e+00
50;0.510000;0.000000e+00;0.000000e+00;0.000000e+00
51;0.520000;0.000000e+00;0.000000e+00;0.000000e+00
52;0.520000;0.000000e+00;0.000000e+00;0.000000e+00
