frameIndex;frameTime;F0final_sma;voicingFinalUnclipped_sma;pcm_loudness_sma
0;0.010000;0.000000e+00;2.026447e-01;7.880087e-02
1;0.020000;0.000000e+00;4.054103e-01;1.034267e-01
2;0.030000;0.000000e+00;6.086089e-01;1.333162e-01
3;0.040000;0.000000e+00;4.059642e-01;1.625691e-01
4;0.050000;0.000000e+00;4.108580e-01;1.379433e-01
5;0.060000;0.000000e+00;4.129191e-01;1.295316e-01
6;0.070000;0.000000e+00;6.160807e-01;1.358470e-01
7;0.080000;0.000000e+00;6.066589e-01;1.959815e-01
8;0.090000;0.000000e+00;5.880963e-01;1.585861e-01
9;0.100000;0.000000e+00;3.849347e-01;1.934806e-01
10;0.110000;0.000000e+00;3.841340e-01;1.475730e-01
11;0.120000;0.000000e+00;4.058369e-01;1.402535e-01
12;0.130000;0.000000e+00;4.058369e-01;8.422880e-02
13;0.140000;0.000000e+00;4.028485e-01;7.108273e-02
14;0.150000;0.000000e+00;3.917383e-01;7.840226e-02
15;0.160000;0.000000e+00;6.188596e-01;9.818678e-02
16;0.170000;7.758865e+01;6.781954e-01;1.885274e-01
17;0.180000;1.548086e+02;7.396315e-01;2.395652e-01
18;0.190000;2.314431e+02;7.613838e-01;4.727546e-01
19;0.200000;1.538545e+02;7.286623e-01;4.492358e-01
20;0.210000;7.663454e+01;4.699365e-01;5.738263e-01
21;0.220000;0.000000e+00;2.210628e-01;3.673886e-01
22;0.230000;0.000000e+00;0.000000e+00;3.615069e-01
23;0.240000;0.000000e+00;1.233031e-01;2.316858e-01
24;0.250000;0.000000e+00;2.751546e-01;2.167402e-01
25;0.260000;0.000000e+00;4.538401e-01;2.761316e-01
26;0.270000;0.000000e+00;5.170937e-01;4.791042e-01
27;0.280000;0.000000e+00;5.618318e-01;4.458671e-01
28;0.290000;0.000000e+00;5.879557e-01;5.590380e-01
29;0.300000;0.000000e+00;6.197264e-01;8.123915e-01
30;0.310000;0.000000e+00;5.937480e-01;9.644195e-01
31;0.320000;1.060623e+02;6.283901e-01;1.097766e+00
32;0.330000;2.110567e+02;6.687798e-01;7.296559e-01
33;0.340000;3.152255e+02;7.664580e-01;6.870853e-01
34;0.350000;3.124641e+02;7.892140e-01;6.357809e-01
35;0.360000;3.068986e+02;7.983400e-01;1.093674e+00
36;0.370000;3.014207e+02;7.994024e-01;1.238932e+00
37;0.380000;2.956272e+02;8.007454e-01;1.650222e+00
38;0.390000;2.929730e+02;7.931353e-01;1.949099e+00
39;0.400000;2.900009e+02;7.898604e-01;2.389522e+00
40;0.410000;2.861885e+02;7.825510e-01;1.945622e+00
41;0.420000;2.801597e+02;7.784426e-01;2.242853e+00
42;0.430000;2.729272e+02;7.672675e-01;2.258494e+00
43;0.440000;2.616306e+02;7.638211e-01;2.297544e+00
44;0.450000;1.708848e+02;7.392046e-01;1.280013e+00
45;0.460000;8.239872e+01;7.190616e-01;9.479676e-01
46;0.470000;0.000000e+00;6.913110e-01;1.095569e+00
47;0.480000;6.153549e+01;7.025945e-01;1.265242e+00
48;0.490000;1.224754e+02;7.189649e-01;1.128901e+00
49;0.500000;1.824463e+02;7.467982e-01;9.006621e-01
50;0.510000;1.801266e+02;7.594169e-01;5.906395e-01
51;0.520000;1.783581e+02;7.516346e-01;6.511043e-01
52;0.530000;1.183872e+02;7.126998e-01;9.630349e-01
53;0.540000;5.917138e+01;6.623896e-01;1.281120e+00
54;0.550000;0.000000e+00;4.190427e-01;1.082140e+00
55;0.560000;0.000000e+00;2.051002e-01;5.228237e-01
56;0.570000;0.000000e+00;0.000000e+00;2.372997e-01
57;0.580000;0.000000e+00;0.000000e+00;1.551914e-01
58;0.590000;0.000000e+00;0.000000e+00;2.130786e-01
59;0.600000;0.000000e+00;0.000000e+00;2.700726e-01
60;0.610000;0.000000e+00;0.000000e+00;2.433340e-01
61;0.620000;0.000000e+00;0.000000e+00;2.227058e-01
62;0.630000;0.000000e+00;0.000000e+00;1.815063e-01
63;0.640000;0.000000e+00;1.975411e-01;2.058288e-01
64;0.650000;0.000000e+00;3.952825e-01;1.841663e-01
65;0.660000;0.000000e+00;5.836267e-01;1.625746e-01
66;0.670000;0.000000e+00;3.860857e-01;1.747190e-01
67;0.680000;0.000000e+00;3.948839e-01;1.771313e-01
68;0.690000;0.000000e+00;4.130794e-01;1.247085e-01
69;0.690000;0.000000e+00;6.196191e-01;9.934186e-02
