frameIndex;frameTime;F0final_sma;voicingFinalUnclipped_sma;pcm_loudness_sma
0;0.010000;0.000000e+00;0.000000e+00;1.266611e-01
1;0.020000;0.000000e+00;0.000000e+00;1.476065e-01
2;0.030000;0.000000e+00;0.000000e+00;1.633820e-01
3;0.040000;0.000000e+00;0.000000e+00;1.407921e-01
4;0.050000;0.000000e+00;0.000000e+00;1.130762e-01
5;0.060000;0.000000e+00;0.000000e+00;9.730071e-02
6;0.070000;0.000000e+00;0.000000e+00;1.518278e-01
7;0.080000;0.000000e+00;0.000000e+00;1.922064e-01
8;0.090000;0.000000e+00;0.000000e+00;2.114585e-01
9;0.100000;0.000000e+00;0.000000e+00;2.321589e-01
10;0.110000;0.000000e+00;1.482140e-01;2.644175e-01
11;0.120000;0.000000e+00;3.481102e-01;2.532926e-01
12;0.130000;0.000000e+00;5.492818e-01;2.058619e-01
13;0.140000;0.000000e+00;6.056125e-01;1.609405e-01
14;0.150000;8.483488e+01;6.418136e-01;1.881221e-01
15;0.160000;1.702010e+02;7.143261e-01;3.816136e-01
16;0.170000;2.557098e+02;7.851604e-01;6.234337e-01
17;0.180000;2.558881e+02;8.204745e-01;8.667647e-01
18;0.190000;2.550934e+02;8.089983e-01;7.865875e-01
19;0.200000;1.695846e+02;7.664136e-01;1.111301e+00
20;0.210000;8.457140e+01;7.066475e-01;1.390177e+00
21;0.220000;0.000000e+00;6.835875e-01;1.521489e+00
22;0.230000;0.000000e+00;6.787394e-01;1.002423e+00
23;0.240000;0.000000e+00;6.564305e-01;4.209160e-01
24;0.250000;0.000000e+00;5.571899e-01;2.585609e-01
25;0.260000;0.000000e+00;4.750383e-01;1.431246e-01
26;0.270000;0.000000e+00;4.589139e-01;2.329823e-01
27;0.280000;0.000000e+00;4.786989e-01;1.128898e-01
28;0.290000;0.000000e+00;4.987996e-01;3.034896e-01
29;0.300000;0.000000e+00;5.173624e-01;3.219950e-01
30;0.310000;0.000000e+00;5.750443e-01;7.396098e-01
31;0.320000;0.000000e+00;4.091493e-01;8.001211e-01
32;0.330000;0.000000e+00;4.284651e-01;1.367321e+00
33;0.340000;0.000000e+00;4.286310e-01;1.271130e+00
34;0.350000;0.000000e+00;6.355610e-01;1.678356e+00
35;0.360000;0.000000e+00;6.154392e-01;1.419236e+00
36;0.370000;0.000000e+00;5.977377e-01;1.497432e+00
37;0.380000;0.000000e+00;5.614797e-01;1.136412e+00
38;0.390000;0.000000e+00;5.376230e-01;9.897456e-01
39;0.400000;0.000000e+00;5.040921e-01;8.962335e-01
40;0.410000;0.000000e+00;5.390101e-01;6.939105e-01
41;0.420000;9.204434e+01;6.245394e-01;4.481246e-01
42;0.430000;1.830552e+02;7.249300e-01;2.370088e-01
43;0.440000;2.731044e+02;7.918912e-01;3.549182e-01
44;0.450000;2.690393e+02;8.109851e-01;5.422701e-01
45;0.460000;2.641778e+02;8.132617e-01;6.100845e-01
46;0.470000;2.554580e+02;7.998559e-01;8.487800e-01
47;0.480000;2.475470e+02;7.883707e-01;1.428852e+00
48;0.490000;2.378981e+02;7.780001e-01;1.427912e+00
49;0.500000;2.293065e+02;7.658404e-01;1.821483e+00
50;0.510000;2.192612e+02;7.457232e-01;1.313760e+00
51;0.520000;2.099980e+02;7.272122e-01;1.497979e+00
52;0.530000;1.372601e+02;7.114565e-01;1.004621e+00
53;0.540000;6.723717e+01;7.017063e-01;1.598189e+00
54;0.550000;0.000000e+00;6.950339e-01;1.968860e+00
55;0.560000;0.000000e+00;6.805498e-01;1.869564e+00
56;0.570000;0.000000e+00;6.746850e-01;9.886515e-01
57;0.580000;0.000000e+00;6.541395e-01;3.585829e-01
58;0.590000;0.000000e+00;6.671777e-01;4.352641e-01
59;0.600000;0.000000e+00;6.442740e-01;9.943404e-01
60;0.610000;0.000000e+00;6.550809e-01;1.261702e+00
61;0.620000;0.000000e+00;6.301543e-01;1.234196e+00
62;0.630000;0.000000e+00;6.177139e-01;1.029772e+00
63;0.640000;0.000000e+00;5.873217e-01;7.469958e-01
64;0.650000;0.000000e+00;5.836909e-01;5.115815e-01
65;0.660000;0.000000e+00;5.986304e-01;3.382255e-01
66;0.670000;0.000000e+00;5.888814e-01;3.507527e-01
67;0.680000;0.000000e+00;5.550091e-01;3.270664e-01
68;0.690000;0.000000e+00;3.508957e-01;2.344198e-01
69;0.700000;0.000000e+00;1.673546e-01;2.057692e-01
70;0.710000;0.000000e+00;0.000000e+00;1.732058e-01
71;0.720000;0.000000e+00;0.000000e+00;1.954855e-01
72;0.720000;0.000000e+00;0.000000e+00;2.706456e-01
