frameIndex;frameTime;F0final_sma;voicingFinalUnclipped_sma;pcm_loudness_sma
0;0.010000;0.000000e+00;1.886103e-01;8.516999e-02
1;0.020000;0.000000e+00;1.886103e-01;1.084941e-01
2;0.030000;0.000000e+00;1.886103e-01;1.130535e-01
3;0.040000;0.000000e+00;0.000000e+00;1.800471e-01
4;0.050000;0.000000e+00;0.000000e+00;1.766686e-01
5;0.060000;0.000000e+00;0.000000e+00;2.023199e-01
6;0.070000;0.000000e+00;0.000000e+00;1.871536e-01
7;0.080000;0.000000e+00;1.716378e-01;1.569000e-01
8;0.090000;0.000000e+00;3.498214e-01;1.347745e-01
9;0.100000;0.000000e+00;5.519614e-01;1.259817e-01
10;0.110000;0.000000e+00;5.853294e-01;1.596138e-01
11;0.120000;0.000000e+00;5.923691e-01;1.616325e-01
12;0.130000;0.000000e+00;5.805229e-01;1.960479e-01
13;0.140000;0.000000e+00;5.848423e-01;2.771794e-01
14;0.150000;0.000000e+00;6.048988e-01;2.697839e-01
15;0.160000;0.000000e+00;6.377275e-01;2.452956e-01
16;0.170000;0.000000e+00;6.393950e-01;6.543187e-01
17;0.180000;3.907006e+01;6.793624e-01;1.027524e+00
18;0.190000;7.756557e+01;6.999162e-01;1.184358e+00
19;0.200000;1.176585e+02;7.346545e-01;8.841949e-01
20;0.210000;1.185798e+02;7.482449e-01;6.161775e-01
21;0.220000;1.200138e+02;7.661257e-01;4.790871e-01
22;0.230000;1.202040e+02;7.841209e-01;4.842530e-01
23;0.240000;1.205901e+02;7.901855e-01;3.816388e-01
24;0.250000;1.211881e+02;7.952910e-01;4.061902e-01
25;0.260000;1.215494e+02;7.979649e-01;5.408915e-01
26;0.270000;1.216579e+02;7.931234e-01;6.046066e-01
27;0.280000;1.219165e+02;7.840618e-01;8.121694e-01
28;0.290000;1.227413e+02;7.815127e-01;8.177291e-01
29;0.300000;1.239233e+02;7.898613e-01;9.657009e-01
30;0.310000;1.248237e+02;7.946547e-01;8.674815e-01
31;0.320000;8.335453e+01;7.616432e-01;1.055370e+00
32;0.330000;4.168655e+01;7.083797e-01;1.210306e+00
33;0.340000;0.000000e+00;6.597664e-01;1.263241e+00
34;0.350000;0.000000e+00;6.452082e-01;8.399675e-01
35;0.360000;0.000000e+00;6.662313e-01;1.183249e+00
36;0.370000;0.000000e+00;6.797649e-01;1.211548e+00
37;0.380000;4.622667e+01;7.068127e-01;1.221040e+00
38;0.390000;9.202273e+01;7.312985e-01;7.321014e-01
39;0.400000;1.375537e+02;7.630357e-01;5.981011e-01
40;0.410000;1.377581e+02;7.676165e-01;9.161466e-01
41;0.420000;1.393339e+02;7.645699e-01;7.590810e-01
42;0.430000;1.423259e+02;7.574212e-01;1.286780e+00
43;0.440000;1.455450e+02;7.547818e-01;9.674016e-01
44;0.450000;9.817313e+01;7.255746e-01;1.044915e+00
45;0.460000;1.033152e+02;7.145205e-01;9.998834e-01
46;0.470000;1.098773e+02;7.171304e-01;9.965175e-01
47;0.480000;1.698116e+02;7.325478e-01;9.169645e-01
48;0.490000;1.786144e+02;7.446868e-01;8.451362e-01
49;0.500000;1.909318e+02;7.305627e-01;8.836134e-01
50;0.510000;1.309975e+02;7.188980e-01;1.023615e+00
51;0.520000;6.852964e+01;6.875039e-01;8.177323e-01
52;0.530000;0.000000e+00;6.833714e-01;7.117541e-01
53;0.540000;9.319403e+01;7.011746e-01;6.889202e-01
54;0.550000;1.879155e+02;7.405648e-01;4.077657e-01
55;0.560000;2.822842e+02;7.597769e-01;4.799660e-01
56;0.570000;2.792668e+02;7.447634e-01;4.598083e-01
57;0.580000;1.845454e+02;7.058823e-01;4.012457e-01
58;0.590000;9.017670e+01;6.624008e-01;2.699613e-01
59;0.600000;0.000000e+00;4.274575e-01;1.402585e-01
60;0.610000;0.000000e+00;2.053544e-01;2.055696e-01
61;0.620000;0.000000e+00;0.000000e+00;2.644582e-01
62;0.630000;0.000000e+00;0.000000e+00;3.244090e-01
63;0.640000;0.000000e+00;1.639763e-01;2.688262e-01
64;0.650000;0.000000e+00;3.488702e-01;2.494340e-01
65;0.660000;0.000000e+00;5.595886e-01;1.508717e-01
66;0.670000;0.000000e+00;6.000135e-01;1.761541e-01
67;0.680000;0.000000e+00;6.247272e-01;2.012970e-01
68;0.690000;0.000000e+00;6.402400e-01;4.851639e-01
69;0.700000;0.000000e+00;6.501564e-01;7.688544e-01
70;0.710000;0.000000e+00;6.454636e-01;8.354994e-01
71;0.720000;0.000000e+00;6.011541e-01;6.999574e-01
72;0.730000;0.000000e+00;6.024464e-01;3.924363e-01
73;0.740000;0.000000e+00;6.013858e-01;2.933006e-01
74;0.750000;0.000000e+00;6.065652e-01;1.449756e-01
75;0.760000;0.000000e+00;5.788277e-01;1.914229e-01
76;0.770000;0.000000e+00;5.931890e-01;2.248502e-01
77;0.780000;0.000000e+00;6.073983e-01;4.254118e-01
78;0.790000;0.000000e+00;6.421378e-01;3.704334e-01
79;0.800000;0.000000e+00;6.669499e-01;3.791434e-01
80;0.810000;0.000000e+00;6.927459e-01;2.755498e-01
81;0.820000;0.000000e+00;6.939935e-01;2.722206e-01
82;0.830000;0.000000e+00;6.764721e-01;3.075047e-01
83;0.840000;3.286060e+01;6.863312e-01;3.630272e-01
84;0.850000;6.524264e+01;7.009167e-01;4.975733e-01
85;0.860000;1.290989e+02;7.195663e-01;7.258669e-01
86;0.870000;1.594497e+02;7.274545e-01;7.858217e-01
87;0.880000;1.582674e+02;7.254913e-01;8.349578e-01
88;0.890000;9.441116e+01;7.117400e-01;4.974779e-01
89;0.900000;3.119975e+01;6.846416e-01;3.699164e-01
90;0.910000;0.000000e+00;6.259176e-01;3.360770e-01
91;0.920000;0.000000e+00;3.955132e-01;4.036772e-01
92;0.930000;0.000000e+00;1.777581e-01;3.586173e-01
93;0.940000;0.000000e+00;1.949176e-01;2.484192e-01
94;0.950000;0.000000e+00;4.100508e-01;2.259496e-01
95;0.960000;0.000000e+00;6.412396e-01;1.666548e-01
96;0.970000;0.000000e+00;6.762617e-01;1.719384e-01
97;0.980000;3.252320e+01;6.944979e-01;2.069451e-01
98;0.990000;6.451345e+01;6.999261e-01;4.311248e-01
99;1.000000;9.650370e+01;7.054747e-01;3.510130e-01
100;1.010000;6.398050e+01;7.041464e-01;7.314156e-01
101;1.020000;6.289251e+01;7.015800e-01;5.934594e-01
102;1.030000;6.156149e+01;7.037994e-01;6.581293e-01
103;1.040000;9.259434e+01;7.075843e-01;2.089719e-01
104;1.050000;9.356087e+01;7.073532e-01;2.241639e-01
105;1.060000;6.290164e+01;7.016345e-01;2.139547e-01
106;1.070000;6.440909e+01;7.006497e-01;2.741629e-01
107;1.080000;6.502715e+01;7.015089e-01;2.520568e-01
108;1.090000;9.743434e+01;7.047448e-01;2.052859e-01
109;1.100000;1.299662e+02;7.061751e-01;3.296390e-01
110;1.110000;1.630527e+02;7.148405e-01;4.568273e-01
111;1.120000;1.964255e+02;7.269733e-01;5.615231e-01
112;1.130000;1.974133e+02;7.360970e-01;6.123909e-01
113;1.140000;1.983455e+02;7.319703e-01;5.715176e-01
114;1.150000;1.661567e+02;7.211576e-01;5.820537e-01
115;1.160000;1.000967e+02;7.076657e-01;3.706272e-01
116;1.170000;3.359121e+01;6.952297e-01;4.547851e-01
117;1.180000;0.000000e+00;6.949566e-01;5.741084e-01
118;1.190000;0.000000e+00;6.942217e-01;6.192002e-01
119;1.200000;0.000000e+00;6.927803e-01;4.737728e-01
120;1.210000;0.000000e+00;4.565083e-01;4.016410e-01
121;1.220000;0.000000e+00;2.253398e-01;4.170757e-01
122;1.230000;0.000000e+00;0.000000e+00;3.169460e-01
123;1.240000;0.000000e+00;0.000000e+00;2.172595e-01
124;1.250000;0.000000e+00;0.000000e+00;1.642862e-01
125;1.260000;0.000000e+00;0.000000e+00;2.318558e-01
126;1.270000;0.000000e+00;0.000000e+00;2.505381e-01
127;1.280000;0.000000e+00;0.000000e+00;2.311515e-01
128;1.290000;0.000000e+00;0.000000e+00;2.602482e-01
129;1.300000;0.000000e+00;0.000000e+00;2.346193e-01
130;1.310000;0.000000e+00;0.000000e+00;2.208559e-01
131;1.320000;0.000000e+00;1.897247e-01;1.704329e-01
132;1.330000;0.000000e+00;3.794494e-01;1.864422e-01
133;1.330000;0.000000e+00;5.691741e-01;2.270954e-01
