frameIndex;frameTime;F0final_sma;voicingFinalUnclipped_sma;pcm_loudness_sma
0;0.010000;0.000000e+00;1.842676e-01;1.003194e-01
1;0.020000;0.000000e+00;3.789422e-01;9.289836e-02
2;0.030000;0.000000e+00;3.789422e-01;1.123757e-01
3;0.040000;0.000000e+00;3.831861e-01;1.249356e-01
4;0.050000;0.000000e+00;3.720652e-01;1.639811e-01
5;0.060000;0.000000e+00;5.637863e-01;1.722658e-01
6;0.070000;0.000000e+00;5.663248e-01;1.784854e-01
7;0.080000;0.000000e+00;5.796406e-01;1.633715e-01
8;0.090000;0.000000e+00;5.834517e-01;1.662197e-01
9;0.100000;0.000000e+00;5.871040e-01;1.694251e-01
10;0.110000;0.000000e+00;5.856082e-01;2.110015e-01
11;0.120000;0.000000e+00;3.900761e-01;2.013095e-01
12;0.130000;0.000000e+00;3.583569e-01;1.970084e-01
13;0.140000;0.000000e+00;3.623812e-01;1.759418e-01
14;0.150000;0.000000e+00;5.802532e-01;2.158774e-01
15;0.160000;7.095814e+01;6.526091e-01;2.257750e-01
16;0.170000;1.426240e+02;7.199150e-01;2.370998e-01
17;0.180000;2.143230e+02;7.808261e-01;2.267282e-01
18;0.190000;2.148580e+02;8.291723e-01;2.933846e-01
19;0.200000;2.147397e+02;8.473917e-01;6.308700e-01
20;0.210000;2.143456e+02;8.526769e-01;9.292701e-01
21;0.220000;2.140143e+02;8.550861e-01;1.741757e+00
22;0.230000;2.135583e+02;8.585917e-01;1.400102e+00
23;0.240000;2.134309e+02;8.627790e-01;1.471255e+00
24;0.250000;2.138857e+02;8.647160e-01;8.590169e-01
25;0.260000;2.147002e+02;8.641312e-01;8.282570e-01
26;0.270000;2.154579e+02;8.628765e-01;4.874464e-01
27;0.280000;2.156118e+02;8.620500e-01;5.323672e-01
28;0.290000;2.155784e+02;8.630032e-01;1.140886e+00
29;0.300000;2.159603e+02;8.634023e-01;1.655002e+00
30;0.310000;2.168596e+02;8.637559e-01;1.519373e+00
31;0.320000;2.175904e+02;8.619518e-01;1.245254e+00
32;0.330000;2.177416e+02;8.629497e-01;8.383925e-01
33;0.340000;2.174048e+02;8.636498e-01;7.386435e-01
34;0.350000;2.169197e+02;8.660859e-01;7.343570e-01
35;0.360000;2.165409e+02;8.670576e-01;1.381795e+00
36;0.370000;2.164924e+02;8.680121e-01;1.622736e+00
37;0.380000;2.168740e+02;8.678647e-01;1.460121e+00
38;0.390000;2.172236e+02;8.668248e-01;9.871375e-01
39;0.400000;2.168331e+02;8.645932e-01;8.660139e-01
40;0.410000;2.159131e+02;8.622537e-01;1.009316e+00
41;0.420000;2.148847e+02;8.603709e-01;1.380779e+00
42;0.430000;2.143571e+02;8.590721e-01;1.324081e+00
43;0.440000;2.139464e+02;8.548104e-01;1.142895e+00
44;0.450000;2.127885e+02;8.423469e-01;5.365958e-01
45;0.460000;2.104304e+02;8.177771e-01;4.802838e-01
46;0.470000;2.058886e+02;7.949954e-01;5.033397e-01
47;0.480000;2.008154e+02;7.737780e-01;8.327452e-01
48;0.490000;1.970593e+02;7.509060e-01;9.642838e-01
49;0.500000;1.304318e+02;7.235160e-01;9.701166e-01
50;0.510000;6.525208e+01;6.704801e-01;6.224639e-01
51;0.520000;0.000000e+00;6.393939e-01;5.990171e-01
52;0.530000;0.000000e+00;6.134012e-01;6.250709e-01
53;0.540000;0.000000e+00;5.930374e-01;6.060506e-01
54;0.550000;0.000000e+00;3.858825e-01;5.269141e-01
55;0.560000;0.000000e+00;1.793665e-01;3.928905e-01
56;0.570000;0.000000e+00;1.515813e-01;3.603383e-01
57;0.580000;0.000000e+00;3.625341e-01;2.111787e-01
58;0.590000;0.000000e+00;5.702143e-01;1.434660e-01
59;0.600000;0.000000e+00;6.398715e-01;1.220366e-01
60;0.610000;6.707919e+01;6.809476e-01;1.638083e-01
61;0.620000;1.363082e+02;7.250913e-01;6.560319e-01
62;0.630000;2.065457e+02;7.756462e-01;7.658726e-01
63;0.640000;2.103915e+02;8.058384e-01;9.358012e-01
64;0.650000;2.127731e+02;8.410119e-01;6.648104e-01
65;0.660000;2.145339e+02;8.574511e-01;7.926874e-01
66;0.670000;2.160346e+02;8.637868e-01;1.316855e+00
67;0.680000;2.174409e+02;8.640817e-01;1.385450e+00
68;0.690000;2.189008e+02;8.628265e-01;1.543095e+00
69;0.700000;2.202465e+02;8.589163e-01;1.170892e+00
70;0.710000;2.219032e+02;8.453677e-01;9.359428e-01
71;0.720000;2.251041e+02;8.270557e-01;7.648436e-01
72;0.730000;2.296317e+02;7.925199e-01;1.003298e+00
73;0.740000;2.383863e+02;7.674835e-01;1.281312e+00
74;0.750000;2.496095e+02;7.526078e-01;1.196193e+00
75;0.760000;2.635578e+02;7.707204e-01;9.423886e-01
76;0.770000;2.735020e+02;7.878802e-01;7.726734e-01
77;0.780000;2.832918e+02;7.909900e-01;9.268636e-01
78;0.790000;2.904500e+02;7.829844e-01;9.091890e-01
79;0.800000;2.973466e+02;7.701814e-01;1.029356e+00
80;0.810000;1.996744e+02;7.233703e-01;7.888527e-01
81;0.820000;1.002689e+02;6.655168e-01;4.661340e-01
82;0.830000;0.000000e+00;6.202666e-01;2.885201e-01
83;0.840000;0.000000e+00;6.161124e-01;2.461292e-01
84;0.850000;0.000000e+00;4.137481e-01;3.374429e-01
85;0.860000;0.000000e+00;3.730523e-01;3.077945e-01
86;0.870000;0.000000e+00;3.497979e-01;3.215885e-01
87;0.880000;0.000000e+00;5.748490e-01;2.523844e-01
88;0.890000;1.192199e+02;6.664339e-01;5.943732e-01
89;0.900000;2.378960e+02;7.468894e-01;5.221161e-01
90;0.910000;3.555082e+02;7.585808e-01;5.100830e-01
91;0.920000;2.362883e+02;6.972007e-01;6.338385e-01
92;0.930000;1.176122e+02;6.306364e-01;7.358440e-01
93;0.940000;0.000000e+00;3.938938e-01;7.068200e-01
94;0.950000;0.000000e+00;3.672994e-01;1.679467e-01
95;0.960000;0.000000e+00;3.732690e-01;8.371045e-02
96;0.970000;0.000000e+00;5.907224e-01;8.966960e-02
97;0.980000;0.000000e+00;6.546785e-01;7.424791e-02
98;0.990000;0.000000e+00;6.672305e-01;3.735025e-01
99;1.000000;0.000000e+00;6.335294e-01;4.852377e-01
100;1.010000;1.130497e+02;6.502970e-01;6.201908e-01
101;1.020000;2.260421e+02;7.212459e-01;3.406155e-01
102;1.030000;3.390863e+02;8.322163e-01;4.663779e-01
103;1.040000;3.397259e+02;8.811219e-01;4.961328e-01
104;1.050000;3.410733e+02;8.956498e-01;8.970350e-01
105;1.060000;3.429974e+02;9.023504e-01;8.516409e-01
106;1.070000;3.449129e+02;9.037606e-01;1.679916e+00
107;1.080000;3.466141e+02;9.037663e-01;1.752477e+00
108;1.090000;3.476763e+02;9.004301e-01;2.593866e+00
109;1.100000;3.478521e+02;8.888527e-01;1.838501e+00
110;1.110000;3.473262e+02;8.671310e-01;2.083490e+00
111;1.120000;3.467398e+02;8.171186e-01;1.413482e+00
112;1.130000;3.462760e+02;7.649272e-01;1.480984e+00
113;1.140000;2.307608e+02;7.008923e-01;8.779411e-01
114;1.150000;1.153169e+02;6.250049e-01;6.295087e-01
115;1.160000;0.000000e+00;5.542670e-01;4.444156e-01
116;1.170000;0.000000e+00;5.157504e-01;4.542112e-01
117;1.180000;1.227413e+02;5.886683e-01;3.950334e-01
118;1.190000;2.381276e+02;6.818539e-01;3.481209e-01
119;1.200000;3.522254e+02;7.751802e-01;2.658103e-01
120;1.210000;3.412460e+02;8.040322e-01;2.336196e-01
121;1.220000;3.337574e+02;8.126822e-01;4.398364e-01
122;1.230000;3.239023e+02;8.094432e-01;5.697885e-01
123;1.240000;3.130194e+02;7.972841e-01;8.903697e-01
124;1.250000;3.019113e+02;7.716807e-01;1.060616e+00
125;1.260000;2.831750e+02;7.387349e-01;1.337361e+00
126;1.270000;1.822961e+02;6.970358e-01;1.276964e+00
127;1.280000;8.550648e+01;6.795939e-01;9.303021e-01
128;1.290000;0.000000e+00;4.461506e-01;5.397727e-01
129;1.300000;0.000000e+00;4.499516e-01;5.907409e-01
130;1.310000;0.000000e+00;4.471626e-01;5.860310e-01
131;1.320000;0.000000e+00;4.471626e-01;5.304586e-01
132;1.330000;0.000000e+00;2.232624e-01;3.097754e-01
133;1.340000;0.000000e+00;0.000000e+00;3.026326e-01
134;1.350000;0.000000e+00;1.850615e-01;2.728197e-01
135;1.360000;0.000000e+00;3.862209e-01;2.972333e-01
136;1.370000;6.090315e+01;6.413253e-01;2.751912e-01
137;1.380000;1.217256e+02;7.232964e-01;2.505434e-01
138;1.390000;1.824267e+02;7.940580e-01;2.644241e-01
139;1.400000;1.822889e+02;8.110840e-01;4.266719e-01
140;1.410000;1.826742e+02;8.108019e-01;7.872118e-01
141;1.420000;1.850972e+02;7.973660e-01;9.225671e-01
142;1.430000;1.894525e+02;7.939762e-01;1.112459e+00
143;1.440000;1.944369e+02;8.021109e-01;8.666265e-01
144;1.450000;1.981957e+02;8.234381e-01;7.067876e-01
145;1.460000;2.002447e+02;8.367645e-01;8.718346e-01
146;1.470000;2.014528e+02;8.444614e-01;1.278565e+00
147;1.480000;2.018202e+02;8.443258e-01;1.518062e+00
148;1.490000;2.010399e+02;8.411236e-01;1.343290e+00
149;1.500000;1.989597e+02;8.341632e-01;1.797713e+00
150;1.510000;1.960713e+02;8.256308e-01;2.068087e+00
151;1.520000;1.920864e+02;8.050218e-01;2.570622e+00
152;1.530000;1.872510e+02;7.765676e-01;2.210252e+00
153;1.540000;1.804888e+02;7.455000e-01;2.382066e+00
154;1.550000;1.728985e+02;7.297675e-01;1.792871e+00
155;1.560000;1.653789e+02;7.348075e-01;1.360465e+00
156;1.570000;1.600508e+02;7.537536e-01;8.214069e-01
157;1.580000;1.575172e+02;7.472448e-01;6.308753e-01
158;1.590000;1.045521e+02;6.876658e-01;6.783833e-01
159;1.600000;5.228062e+01;6.435667e-01;6.803685e-01
160;1.610000;0.000000e+00;6.232799e-01;8.521819e-01
161;1.620000;0.000000e+00;6.434815e-01;7.627272e-01
162;1.630000;0.000000e+00;6.367514e-01;1.224084e+00
163;1.640000;0.000000e+00;6.231391e-01;9.832467e-01
164;1.650000;0.000000e+00;6.072739e-01;8.556330e-01
165;1.660000;0.000000e+00;5.997875e-01;2.157814e-01
166;1.670000;0.000000e+00;5.961943e-01;2.093917e-01
167;1.680000;0.000000e+00;5.646681e-01;3.341025e-01
168;1.690000;0.000000e+00;5.302210e-01;2.301375e-01
169;1.700000;0.000000e+00;4.921618e-01;2.908776e-01
170;1.710000;0.000000e+00;5.164348e-01;2.368289e-01
171;1.720000;0.000000e+00;3.501748e-01;3.302956e-01
172;1.730000;0.000000e+00;1.897118e-01;2.776487e-01
173;1.740000;0.000000e+00;0.000000e+00;2.444353e-01
174;1.750000;0.000000e+00;0.000000e+00;2.021239e-01
175;1.760000;0.000000e+00;1.665918e-01;1.537791e-01
176;1.770000;0.000000e+00;1.665918e-01;1.572679e-01
177;1.780000;0.000000e+00;1.665918e-01;1.197447e-01
178;1.790000;0.000000e+00;0.000000e+00;1.104515e-01
179;1.790000;0.000000e+00;0.000000e+00;7.574536e-02
