frameIndex;frameTime;F0final_sma;voicingFinalUnclipped_sma;pcm_loudness_sma
0;0.010000;0.000000e+00;0.000000e+00;8.264733e-02
1;0.020000;0.000000e+00;0.000000e+00;7.972967e-02
2;0.030000;0.000000e+00;0.000000e+00;1.058215e-01
3;0.040000;0.000000e+00;1.817914e-01;1.110737e-01
4;0.050000;0.000000e+00;1.817914e-01;1.161286e-01
5;0.060000;0.000000e+00;1.817914e-01;1.084782e-01
6;0.070000;0.000000e+00;0.000000e+00;7.175765e-02
7;0.080000;0.000000e+00;0.000000e+00;6.110121e-02
8;0.090000;0.000000e+00;0.000000e+00;4.479711e-02
9;0.100000;0.000000e+00;1.777184e-01;8.328341e-02
10;0.110000;0.000000e+00;3.488649e-01;8.061443e-02
11;0.120000;0.000000e+00;5.658378e-01;1.296704e-01
12;0.130000;0.000000e+00;5.997422e-01;1.117715e-01
13;0.140000;0.000000e+00;6.496292e-01;1.035790e-01
14;0.150000;8.372520e+01;6.805544e-01;7.526521e-02
15;0.160000;1.678887e+02;7.205677e-01;1.494076e-01
16;0.170000;2.549861e+02;7.748189e-01;3.373410e-01
17;0.180000;2.592405e+02;8.144961e-01;5.354997e-01
18;0.190000;2.641996e+02;8.522541e-01;4.546840e-01
19;0.200000;2.670255e+02;8.695074e-01;5.794099e-01
20;0.210000;2.688504e+02;8.760841e-01;6.789627e-01
21;0.220000;2.694803e+02;8.812268e-01;9.575067e-01
22;0.230000;2.690471e+02;8.813983e-01;1.081274e+00
23;0.240000;2.681177e+02;8.784573e-01;1.273878e+00
24;0.250000;2.664741e+02;8.739340e-01;1.380509e+00
25;0.260000;2.646687e+02;8.701423e-01;1.262945e+00
26;0.270000;2.631599e+02;8.669234e-01;1.135634e+00
27;0.280000;2.620104e+02;8.659762e-01;1.176539e+00
28;0.290000;2.609309e+02;8.662639e-01;1.326831e+00
29;0.300000;2.596912e+02;8.644611e-01;1.003263e+00
30;0.310000;2.581443e+02;8.591997e-01;1.014559e+00
31;0.320000;2.563132e+02;8.487830e-01;8.565866e-01
