frameIndex;frameTime;F0final_sma;voicingFinalUnclipped_sma;pcm_loudness_sma
0;0.010000;0.000000e+00;0.000000e+00;1.254527e-01
1;0.020000;0.000000e+00;0.000000e+00;9.914225e-02
2;0.030000;0.000000e+00;0.000000e+00;6.710712e-02
3;0.040000;0.000000e+00;0.000000e+00;8.364347e-02
4;0.050000;0.000000e+00;0.000000e+00;7.838964e-02
5;0.060000;0.000000e+00;1.806675e-01;7.593756e-02
6;0.070000;0.000000e+00;3.578143e-01;8.891369e-02
7;0.080000;0.000000e+00;3.578143e-01;7.215298e-02
8;0.090000;0.000000e+00;1.771467e-01;9.368669e-02
9;0.100000;0.000000e+00;0.000000e+00;5.994918e-02
10;0.110000;0.000000e+00;1.891499e-01;7.222456e-02
11;0.120000;0.000000e+00;4.089803e-01;6.088269e-02
12;0.130000;0.000000e+00;6.297816e-01;7.991454e-02
13;0.140000;5.824206e+01;7.049798e-01;1.036529e-01
14;0.150000;1.161381e+02;7.580086e-01;7.615848e-02
15;0.160000;1.738196e+02;8.099640e-01;1.404296e-01
16;0.170000;1.737904e+02;8.144410e-01;8.605720e-01
17;0.180000;1.751828e+02;8.161401e-01;1.055821e+00
18;0.190000;1.773746e+02;8.240700e-01;1.208036e+00
19;0.200000;1.793614e+02;8.340952e-01;7.989333e-01
20;0.210000;1.806365e+02;8.341451e-01;7.708420e-01
21;0.220000;1.825989e+02;8.223011e-01;6.170437e-01
22;0.230000;1.847195e+02;8.118870e-01;5.984781e-01
23;0.240000;1.860635e+02;8.075790e-01;6.419507e-01
24;0.250000;1.854213e+02;8.100906e-01;5.861949e-01
25;0.260000;1.833777e+02;8.150774e-01;2.586542e-01
26;0.270000;1.809971e+02;8.212295e-01;2.978047e-01
27;0.280000;1.786888e+02;8.266617e-01;3.999297e-01
28;0.290000;1.766637e+02;8.282855e-01;6.058144e-01
29;0.300000;1.744499e+02;8.190989e-01;4.223467e-01
30;0.310000;1.707280e+02;7.991310e-01;5.711957e-01
31;0.320000;1.664834e+02;7.862482e-01;4.301986e-01
32;0.330000;1.613994e+02;7.690338e-01;5.192702e-01
33;0.340000;1.565693e+02;7.697737e-01;5.424421e-01
34;0.350000;1.516805e+02;7.650983e-01;7.499335e-01
35;0.360000;1.474159e+02;7.701080e-01;6.922954e-01
36;0.370000;1.434766e+02;7.590013e-01;3.964105e-01
37;0.380000;1.388333e+02;7.448094e-01;1.686516e-01
38;0.390000;9.086872e+01;7.084817e-01;1.144164e-01
39;0.400000;4.447496e+01;4.620301e-01;2.552376e-01
40;0.410000;0.000000e+00;2.187334e-01;2.722856e-01
41;0.420000;0.000000e+00;0.000000e+00;2.969347e-01
42;0.430000;0.000000e+00;0.000000e+00;2.152016e-01
43;0.440000;0.000000e+00;1.794417e-01;1.800468e-01
44;0.450000;0.000000e+00;3.273963e-01;1.532554e-01
45;0.460000;0.000000e+00;3.273963e-01;1.089741e-01
46;0.470000;0.000000e+00;1.479546e-01;1.306488e-01
47;0.480000;0.000000e+00;1.987412e-01;1.321856e-01
48;0.490000;0.000000e+00;3.858714e-01;2.105066e-01
49;0.500000;0.000000e+00;6.135830e-01;2.687839e-01
50;0.510000;3.571611e+01;6.511070e-01;3.530086e-01
51;0.520000;7.091902e+01;7.038646e-01;4.483732e-01
52;0.530000;1.055753e+02;7.109911e-01;3.419081e-01
53;0.540000;6.985920e+01;6.944402e-01;2.995632e-01
54;0.550000;3.465628e+01;4.545524e-01;1.280288e-01
55;0.560000;0.000000e+00;2.197143e-01;2.370012e-01
56;0.570000;0.000000e+00;0.000000e+00;1.535175e-01
57;0.580000;0.000000e+00;0.000000e+00;2.886851e-01
58;0.590000;0.000000e+00;1.814209e-01;3.680863e-01
59;0.600000;0.000000e+00;3.745302e-01;4.503666e-01
60;0.610000;0.000000e+00;5.471407e-01;3.566311e-01
61;0.620000;0.000000e+00;3.657198e-01;3.923348e-01
62;0.630000;0.000000e+00;3.495511e-01;5.557374e-01
63;0.640000;0.000000e+00;3.457879e-01;6.082757e-01
64;0.650000;0.000000e+00;3.457879e-01;5.009669e-01
65;0.660000;0.000000e+00;3.446980e-01;2.944123e-01
66;0.670000;0.000000e+00;3.489428e-01;2.129963e-01
67;0.680000;0.000000e+00;5.346443e-01;1.245546e-01
68;0.690000;4.073703e+01;5.949226e-01;1.261121e-01
69;0.700000;8.106601e+01;6.747699e-01;1.287071e-01
70;0.710000;1.209915e+02;7.495542e-01;1.142728e-01
71;0.720000;1.197256e+02;7.728362e-01;1.204709e-01
72;0.730000;1.182964e+02;7.793291e-01;1.201521e-01
73;0.740000;1.169817e+02;7.816437e-01;4.870148e-01
74;0.750000;1.160924e+02;7.850215e-01;5.505456e-01
75;0.760000;1.157873e+02;7.863745e-01;6.828362e-01
76;0.770000;1.158342e+02;7.822873e-01;4.295244e-01
77;0.780000;1.159366e+02;7.748135e-01;3.501883e-01
78;0.790000;1.160027e+02;7.634843e-01;2.848620e-01
79;0.800000;1.160991e+02;7.542523e-01;2.108242e-01
80;0.810000;1.166273e+02;7.518648e-01;2.488703e-01
81;0.820000;1.175322e+02;7.581730e-01;1.942173e-01
82;0.830000;1.186733e+02;7.628213e-01;1.547041e-01
83;0.840000;1.196948e+02;7.624484e-01;1.668486e-01
84;0.850000;1.209428e+02;7.536472e-01;2.031971e-01
85;0.860000;1.224302e+02;7.480752e-01;4.628910e-01
86;0.870000;1.238141e+02;7.356291e-01;5.184077e-01
87;0.880000;8.300039e+01;7.217882e-01;4.737808e-01
88;0.890000;4.161773e+01;6.943122e-01;2.502435e-01
89;0.900000;0.000000e+00;6.763110e-01;1.914369e-01
90;0.910000;0.000000e+00;4.431886e-01;1.864383e-01
91;0.920000;0.000000e+00;4.278913e-01;2.052841e-01
92;0.930000;0.000000e+00;4.281187e-01;1.736196e-01
93;0.940000;0.000000e+00;6.434928e-01;1.739431e-01
94;0.950000;0.000000e+00;6.145386e-01;2.153436e-01
95;0.960000;0.000000e+00;6.175756e-01;2.295176e-01
96;0.970000;0.000000e+00;4.022016e-01;2.365660e-01
97;0.980000;0.000000e+00;4.460864e-01;1.691899e-01
98;0.990000;0.000000e+00;4.259115e-01;1.509104e-01
99;1.000000;0.000000e+00;6.401696e-01;1.736431e-01
100;1.010000;0.000000e+00;5.469384e-01;1.707225e-01
101;1.020000;0.000000e+00;4.835264e-01;1.944518e-01
102;1.030000;0.000000e+00;4.260777e-01;1.717191e-01
103;1.040000;0.000000e+00;4.922372e-01;2.430015e-01
104;1.050000;0.000000e+00;5.440954e-01;2.501562e-01
105;1.050000;0.000000e+00;5.809289e-01;2.786669e-01
