frameIndex;frameTime;F0final_sma;voicingFinalUnclipped_sma;pcm_loudness_sma
0;0.010000;0.000000e+00;2.028477e-01;2.722598e-01
1;0.020000;0.000000e+00;3.973838e-01;2.833209e-01
2;0.030000;0.000000e+00;5.860914e-01;2.674901e-01
3;0.040000;0.000000e+00;5.173860e-01;2.329851e-01
4;0.050000;0.000000e+00;5.250142e-01;2.150933e-01
5;0.060000;0.000000e+00;3.363065e-01;2.107872e-01
6;0.070000;0.000000e+00;3.979833e-01;1.653182e-01
7;0.080000;0.000000e+00;3.912288e-01;1.512310e-01
8;0.090000;0.000000e+00;5.898709e-01;1.594222e-01
9;0.100000;0.000000e+00;5.988685e-01;1.843719e-01
10;0.110000;0.000000e+00;6.022047e-01;1.933443e-01
11;0.120000;0.000000e+00;6.081136e-01;1.691839e-01
12;0.130000;0.000000e+00;4.032969e-01;1.520867e-01
13;0.140000;0.000000e+00;2.045510e-01;1.379979e-01
14;0.150000;0.000000e+00;1.836287e-01;1.494460e-01
15;0.160000;0.000000e+00;4.059512e-01;1.626287e-01
16;0.170000;7.797614e+01;6.542151e-01;1.809202e-01
17;0.180000;1.554702e+02;7.239448e-01;1.964526e-01
18;0.190000;2.329028e+02;7.578064e-01;2.250250e-01
19;0.200000;2.329763e+02;7.752351e-01;9.159597e-01
20;0.210000;2.344239e+02;7.959799e-01;1.146942e+00
21;0.220000;2.370908e+02;8.154042e-01;1.516278e+00
22;0.230000;2.401194e+02;8.287833e-01;1.523998e+00
23;0.240000;2.435876e+02;8.337542e-01;1.585682e+00
24;0.250000;2.473814e+02;8.399238e-01;1.436515e+00
25;0.260000;2.511748e+02;8.438336e-01;1.219207e+00
26;0.270000;2.545665e+02;8.486170e-01;1.278345e+00
27;0.280000;2.574973e+02;8.493334e-01;1.584818e+00
28;0.290000;2.606617e+02;8.490635e-01;1.378126e+00
29;0.300000;2.633803e+02;8.465382e-01;1.057291e+00
30;0.310000;2.646430e+02;8.403800e-01;7.009282e-01
