frameIndex;frameTime;F0final_sma;voicingFinalUnclipped_sma;pcm_loudness_sma
0;0.010000;0.000000e+00;0.000000e+00;1.703652e-01
1;0.020000;0.000000e+00;0.000000e+00;2.279991e-01
2;0.030000;0.000000e+00;1.949436e-01;2.398961e-01
3;0.040000;0.000000e+00;3.870666e-01;2.371473e-01
4;0.050000;0.000000e+00;5.900731e-01;1.918859e-01
5;0.060000;0.000000e+00;3.951295e-01;2.303478e-01
6;0.070000;0.000000e+00;3.569525e-01;1.998303e-01
7;0.080000;0.000000e+00;3.361423e-01;1.600451e-01
8;0.090000;0.000000e+00;4.956621e-01;1.136509e-01
9;0.100000;0.000000e+00;3.417161e-01;1.716131e-01
10;0.110000;0.000000e+00;1.595197e-01;3.311434e-01
11;0.120000;0.000000e+00;0.000000e+00;4.840760e-01
12;0.130000;0.000000e+00;1.799635e-01;7.722205e-01
13;0.140000;0.000000e+00;3.540567e-01;7.298992e-01
14;0.150000;0.000000e+00;5.715473e-01;6.041201e-01
15;0.160000;4.312780e+01;6.417925e-01;3.149080e-01
16;0.170000;8.586651e+01;7.263753e-01;2.636997e-01
17;0.180000;1.284245e+02;7.713779e-01;4.014409e-01
18;0.190000;1.277624e+02;7.848098e-01;5.558192e-01
19;0.200000;1.271970e+02;7.862203e-01;9.861171e-01
20;0.210000;1.263040e+02;7.797276e-01;1.338696e+00
21;0.220000;1.249122e+02;7.721753e-01;1.270168e+00
22;0.230000;1.234066e+02;7.672549e-01;1.001382e+00
23;0.240000;1.222717e+02;7.690082e-01;9.486457e-01
24;0.250000;1.213442e+02;7.702991e-01;9.873382e-01
25;0.260000;1.203753e+02;7.703363e-01;8.893394e-01
26;0.270000;1.189796e+02;7.687867e-01;5.764152e-01
27;0.280000;1.174436e+02;7.688511e-01;7.692327e-01
28;0.290000;1.158768e+02;7.676181e-01;9.253380e-01
29;0.300000;1.141111e+02;7.644913e-01;9.291294e-01
30;0.310000;1.122346e+02;7.559364e-01;7.855625e-01
31;0.320000;1.099406e+02;7.471512e-01;6.498432e-01
32;0.330000;1.079979e+02;7.411913e-01;6.112494e-01
33;0.340000;1.065288e+02;7.432132e-01;5.203822e-01
34;0.350000;1.056727e+02;7.441148e-01;4.578857e-01
35;0.360000;1.048227e+02;7.391669e-01;5.124943e-01
36;0.370000;1.037773e+02;7.240563e-01;6.375895e-01
37;0.380000;6.879536e+01;6.965681e-01;1.066952e+00
38;0.390000;3.421940e+01;6.704236e-01;9.690431e-01
39;0.400000;0.000000e+00;6.440469e-01;7.132204e-01
40;0.410000;0.000000e+00;4.254485e-01;3.104780e-01
41;0.420000;0.000000e+00;2.094234e-01;4.259196e-01
42;0.430000;0.000000e+00;0.000000e+00;4.812111e-01
43;0.440000;0.000000e+00;0.000000e+00;3.790757e-01
44;0.450000;0.000000e+00;0.000000e+00;5.184668e-01
45;0.460000;0.000000e+00;0.000000e+00;7.226434e-01
46;0.470000;0.000000e+00;0.000000e+00;8.399963e-01
47;0.480000;0.000000e+00;0.000000e+00;4.787987e-01
48;0.490000;0.000000e+00;2.080887e-01;2.924396e-01
49;0.500000;0.000000e+00;4.170766e-01;2.243304e-01
50;0.510000;0.000000e+00;6.260644e-01;2.904556e-01
51;0.510000;0.000000e+00;6.269635e-01;2.789546e-01
