frameIndex;frameTime;F0final_sma;voicingFinalUnclipped_sma;pcm_loudness_sma
0;0.010000;0.000000e+00;1.895275e-01;1.994393e-01
1;0.020000;0.000000e+00;3.793789e-01;2.111945e-01
2;0.030000;0.000000e+00;3.793789e-01;2.405905e-01
3;0.040000;0.000000e+00;1.898514e-01;1.925799e-01
4;0.050000;0.000000e+00;0.000000e+00;2.428432e-01
5;0.060000;0.000000e+00;1.645291e-01;1.926338e-01
6;0.070000;0.000000e+00;3.545187e-01;1.963503e-01
7;0.080000;0.000000e+00;5.551949e-01;9.731131e-02
8;0.090000;0.000000e+00;5.848425e-01;1.114591e-01
9;0.100000;0.000000e+00;6.025259e-01;2.437804e-01
10;0.110000;0.000000e+00;5.815495e-01;3.184350e-01
11;0.120000;0.000000e+00;5.625912e-01;6.138871e-01
12;0.130000;0.000000e+00;3.549181e-01;6.359744e-01
13;0.140000;0.000000e+00;1.752184e-01;6.637464e-01
14;0.150000;0.000000e+00;0.000000e+00;4.095337e-01
15;0.160000;0.000000e+00;2.037020e-01;4.158984e-01
16;0.170000;0.000000e+00;4.335329e-01;3.035631e-01
17;0.180000;3.738689e+01;6.779736e-01;3.083965e-01
18;0.190000;7.419229e+01;7.157875e-01;3.453967e-01
19;0.200000;1.101246e+02;7.323148e-01;4.910688e-01
20;0.210000;1.081462e+02;7.287325e-01;4.258033e-01
21;0.220000;1.062630e+02;7.287418e-01;4.212210e-01
22;0.230000;1.057029e+02;7.323898e-01;4.467939e-01
23;0.240000;1.055647e+02;7.430357e-01;4.685090e-01
24;0.250000;1.057355e+02;7.535769e-01;3.372690e-01
25;0.260000;1.051954e+02;7.557033e-01;2.849691e-01
26;0.270000;1.048289e+02;7.561513e-01;3.946104e-01
27;0.280000;1.047113e+02;7.576659e-01;5.875655e-01
28;0.290000;1.045218e+02;7.577226e-01;7.968236e-01
29;0.300000;1.039349e+02;7.568882e-01;1.200990e+00
30;0.310000;1.035902e+02;7.523917e-01;1.121552e+00
31;0.320000;1.037963e+02;7.484665e-01;9.733226e-01
32;0.330000;1.042285e+02;7.492987e-01;6.410657e-01
33;0.340000;1.040556e+02;7.492917e-01;5.680944e-01
34;0.350000;1.033837e+02;7.513424e-01;9.509668e-01
35;0.360000;1.023718e+02;7.484515e-01;1.039144e+00
36;0.370000;1.016512e+02;7.407846e-01;1.373582e+00
37;0.380000;1.008774e+02;7.301688e-01;1.300342e+00
38;0.390000;1.002863e+02;7.208790e-01;1.156548e+00
39;0.400000;6.654925e+01;7.085078e-01;9.604203e-01
40;0.410000;3.314605e+01;6.823645e-01;6.069564e-01
41;0.420000;0.000000e+00;4.425951e-01;5.833816e-01
42;0.430000;0.000000e+00;4.190533e-01;3.458419e-01
43;0.440000;0.000000e+00;3.928186e-01;3.072859e-01
44;0.450000;0.000000e+00;5.688742e-01;1.946626e-01
45;0.460000;0.000000e+00;5.303516e-01;2.091651e-01
46;0.470000;0.000000e+00;5.148044e-01;2.148515e-01
47;0.480000;0.000000e+00;4.927966e-01;2.618197e-01
48;0.490000;0.000000e+00;5.012504e-01;5.890303e-01
49;0.500000;0.000000e+00;5.269508e-01;4.642388e-01
50;0.510000;0.000000e+00;5.991435e-01;5.613327e-01
51;0.520000;1.673100e+02;6.644219e-01;4.484088e-01
52;0.530000;3.357842e+02;7.056310e-01;6.037310e-01
53;0.540000;3.357842e+02;6.948009e-01;5.210657e-01
54;0.550000;1.684743e+02;6.582620e-01;7.928053e-01
55;0.560000;0.000000e+00;6.205000e-01;7.037582e-01
56;0.570000;0.000000e+00;5.789726e-01;6.501033e-01
57;0.580000;0.000000e+00;3.748041e-01;3.304769e-01
58;0.590000;0.000000e+00;3.952270e-01;4.381469e-01
59;0.600000;4.415718e+01;4.575827e-01;4.719329e-01
60;0.610000;8.785888e+01;7.014521e-01;3.682934e-01
61;0.620000;1.309940e+02;7.289357e-01;3.427933e-01
62;0.630000;1.286805e+02;7.383651e-01;7.071215e-01
63;0.640000;1.268225e+02;7.321677e-01;1.040238e+00
64;0.650000;8.368730e+01;7.154624e-01;9.911339e-01
65;0.660000;4.184365e+01;6.953319e-01;1.038604e+00
66;0.670000;0.000000e+00;6.829209e-01;8.503147e-01
67;0.680000;0.000000e+00;6.681825e-01;1.231354e+00
68;0.690000;0.000000e+00;6.450390e-01;1.106197e+00
69;0.700000;0.000000e+00;6.195977e-01;1.034086e+00
70;0.710000;0.000000e+00;5.971896e-01;6.592513e-01
71;0.720000;0.000000e+00;6.019070e-01;4.878090e-01
72;0.730000;0.000000e+00;6.273355e-01;4.196955e-01
73;0.740000;0.000000e+00;6.427551e-01;5.905214e-01
74;0.750000;0.000000e+00;6.394910e-01;4.448029e-01
75;0.760000;0.000000e+00;6.227472e-01;7.003955e-01
76;0.770000;0.000000e+00;6.153899e-01;6.531040e-01
77;0.780000;0.000000e+00;4.115425e-01;7.274820e-01
78;0.790000;0.000000e+00;2.030380e-01;5.265768e-01
79;0.800000;0.000000e+00;0.000000e+00;4.637637e-01
80;0.810000;0.000000e+00;0.000000e+00;3.780978e-01
81;0.810000;0.000000e+00;0.000000e+00;2.737860e-01
