frameIndex;frameTime;F0final_sma;voicingFinalUnclipped_sma;pcm_loudness_sma
0;0.010000;0.000000e+00;1.671797e-01;1.710307e-01
1;0.020000;0.000000e+00;3.294404e-01;2.990370e-01
2;0.030000;0.000000e+00;5.087605e-01;2.766410e-01
3;0.040000;0.000000e+00;4.976958e-01;2.504181e-01
4;0.050000;0.000000e+00;5.337126e-01;1.073882e-01
5;0.060000;0.000000e+00;5.512033e-01;9.848056e-02
6;0.070000;0.000000e+00;5.577655e-01;1.378472e-01
7;0.080000;0.000000e+00;5.467556e-01;1.935749e-01
8;0.090000;0.000000e+00;5.342585e-01;2.977384e-01
9;0.100000;0.000000e+00;5.218815e-01;2.935999e-01
10;0.110000;0.000000e+00;5.042405e-01;2.740123e-01
11;0.120000;0.000000e+00;4.885194e-01;2.376911e-01
12;0.130000;0.000000e+00;5.382254e-01;2.929026e-01
13;0.140000;0.000000e+00;5.533100e-01;2.526295e-01
14;0.150000;0.000000e+00;6.163627e-01;2.768666e-01
15;0.160000;9.559930e+01;6.817281e-01;2.530167e-01
16;0.170000;1.893968e+02;7.771583e-01;3.411494e-01
17;0.180000;2.826091e+02;8.336776e-01;2.789220e-01
18;0.190000;2.803032e+02;8.600479e-01;6.261184e-01
19;0.200000;2.802034e+02;8.716914e-01;8.750769e-01
20;0.210000;2.809988e+02;8.746428e-01;8.946268e-01
21;0.220000;2.818539e+02;8.726853e-01;8.355036e-01
22;0.230000;2.823379e+02;8.666636e-01;1.269846e+00
23;0.240000;2.823053e+02;8.520709e-01;1.583019e+00
24;0.250000;2.806182e+02;8.267545e-01;1.564041e+00
25;0.260000;2.782460e+02;8.114038e-01;1.107940e+00
26;0.270000;2.764660e+02;8.100988e-01;1.072845e+00
27;0.280000;2.761189e+02;8.208287e-01;8.279076e-01
28;0.290000;2.760720e+02;8.263417e-01;9.001439e-01
29;0.300000;2.748687e+02;8.260931e-01;7.742682e-01
30;0.310000;2.726163e+02;8.257879e-01;1.058295e+00
31;0.320000;2.693067e+02;8.246303e-01;8.881166e-01
32;0.330000;2.649143e+02;8.238295e-01;1.034587e+00
33;0.340000;2.594859e+02;8.228301e-01;7.260483e-01
34;0.350000;2.534407e+02;8.159971e-01;7.496746e-01
35;0.360000;2.474336e+02;8.159987e-01;6.890849e-01
36;0.370000;2.430645e+02;8.246463e-01;1.080741e+00
37;0.380000;2.403790e+02;8.437623e-01;1.167113e+00
38;0.390000;2.389884e+02;8.581637e-01;9.199137e-01
39;0.400000;2.375342e+02;8.659049e-01;8.341384e-01
40;0.410000;2.361989e+02;8.701157e-01;8.147621e-01
41;0.420000;2.350761e+02;8.710192e-01;9.374002e-01
42;0.430000;2.340919e+02;8.702627e-01;8.822036e-01
43;0.440000;2.329071e+02;8.663754e-01;9.479340e-01
44;0.450000;2.315124e+02;8.577043e-01;1.530277e+00
45;0.460000;2.298790e+02;8.360463e-01;1.235646e+00
46;0.470000;2.265663e+02;7.930880e-01;1.174888e+00
47;0.480000;1.498818e+02;7.040263e-01;9.576849e-01
48;0.490000;7.388941e+01;6.306835e-01;9.145987e-01
49;0.500000;0.000000e+00;5.928131e-01;6.350293e-01
50;0.510000;0.000000e+00;5.891843e-01;2.059335e-01
51;0.520000;0.000000e+00;5.811315e-01;3.889272e-01
52;0.530000;0.000000e+00;5.402074e-01;3.228964e-01
53;0.540000;0.000000e+00;5.113155e-01;2.416371e-01
54;0.550000;0.000000e+00;5.061455e-01;2.489417e-01
